texto,sensivel
"    DECRETO NÂº    2.987,       de     16      de    NOVEMBRO     2.010.  DispÃµe sobre nulidade  de estabilidade de servidor no serviÃ§o pÃºblico estadual.  O GOVERNADOR DO ESTADO DE MATO GROSSO, no uso das atribuiÃ§Ãµes que lhe confere o artigo 66, inciso III, da ConstituiÃ§Ã£o Estadual, e considerando o que consta do Processo protocolizado na Secretaria de Estado de AdministraÃ§Ã£o sob nÂº 282531/2007.  DECRETA:  Art. 1Âº Tornar nulo, o Decreto nÂº 461, de 09 de julho de 2007 que declarou est",1
"







PORTARIA Nº 102/2022/SAOR/SINFRA
A Secretaria de Estado de Infraestrutura e Logística,
no uso de suas atribuições e prerrogativas legais, considerando as disposições
da Lei Federal nº. 8666, de 21 de junho de 1993, Seção IV, Art. 67, por meio do
Secretário Adjunto de Obras Rodoviárias  ENGº NILTON DE BRITTO,
respaldado pela portaria nº 016/2019/GS/SINFRA, de 21 de fevereiro de 2019,
RESOLVE:
Art. 1º Nomear servidores como representantes da
Secretaria de Estado de Infraestrutura e L",0
    PORTARIA NÂº. 277/2010/GS/SEDUC/MT A SECRETÃ,1
"



PORTARIA Nº. 019/2009/COFAZ/SEFAZ

O CORREGEDOR FAZENDÁRIO DA SECRETARIA DE ESTADO DE FAZENDA, no uso de suas atribuições legais, que lhe confere o Inciso VIII do Art. 3º da Lei nº 8.265 de 28/12/2004, e;

Considerando Relatório Parcial nº 01/08, do Serviço de Inspeção e Controle e documentos acostados, nos autos da Ordem de Serviço nº 053/2008/COFAZ/SEFAZ, de 16/09/2008, que determinou a inspeção dos resultados advindos da geração do relatório ACGPR 054, no âmbito da Receita Tributária, rel",0
"        PORTARIA N° 109/GSF/SEFAZ/2017   Tornar público os valores repassados em 09/09/2015 do FETHAB, referente a agosto/2015 e parcelamento de janeiro e fevereiro de 2015.   O SECRETÁRIO DE ESTADO DE FAZENDA E O SECRETÁRIO ADJUNTO DO TESOURO ESTADUAL, no exercício das atribuições que lhe são conferidas pelo inciso VIII e XVII do artigo 138 do Regimento Interno da Secretaria de Estado de Fazenda, aprovado pelo Decreto n° 292, de 15 de outubro de 2015, combinado com o inciso VI, itens 1 ",1
"







PORTARIA Nº 02/2024/CASA CIVIL
 
O SECRETÁRIO CHEFE DA CASA CIVIL, no uso de suas atribuições que lhe são conferidas
pelos artigos 69 e 75, §1º da Lei Complementar nº 207, de 29/12/2004, alterada
pela Lei Complementar nº 213, de 09/07/2005;
 
Considerando a solicitação de prorrogação de prazo,
formulada e fundamentada pelo responsável da Comissão Processante, para continuidade
aos trabalhos elucidativos do Processo Administrativo Disciplinar n° 001/2023,
CASA CIVIL - PRO 2023/00433;",0
"



PORTARIA N°. 428 DE 27 DE AGOSTO DE 2013.


Outorga a Prefeitura Municipal de Barra do Garças direito de uso de Água Subterrânea.


O SECRETÁRIO ADJUNTO DE QUALIDADE AMBIENTAL DA SECRETARIA DE ESTADO DO MEIO AMBIENTE (SEMA/MT), no uso das atribuições legais que lhe confere a Portaria nº 110, de 26 de fevereiro de 2013; e,

Considerando os Termos da Lei Estadual nº 6.945 de 05 de novembro de 1997, que dispõe sobre a Política Estadual de Recursos Hídricos;

Considerando o Decreto nº 336, de 0",0
"    PORTARIA Nº  128/2010/GP/DETRAN/MT  O Presidente do DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN/MT, no uso de suas atribuições legais e,  Considerando o que consta do processo administrativo, e satisfeito as exigências legais que constam da Legislação pertinente na Resolução nº 074/98 do CONTRAN e Portaria nº 047/99 do DENATRAN e em especial nas Portarias nºs 025/2002 e 218/2004, ambas do Departamento Estadual de Trânsito – DETRAN/MT;  RESOLVE:  Artigo 1º - Credenciar a empresa “ADELCIO LUIZ ",1
"              PORTARIA / SETPU/Nº 149/2.013                         A SECRETARIA DE ESTADO DE TRANSPORTE E PAVIMENTAÇÃO URBANA, no uso de suas atribuições legais,                                                              RESOLVE :                    DESIGNAR, o servidor Engenheiro JOSÉ PEDRO PIRES, para Supervisionar e Fiscalizar a Elaboração de Projetos de Conservação, Restauração e Melhoramento do Pavimento da Rodovia MT-100, Trecho: Divisa MT/MS – Entrº BR-364 (A) (Alto Paraguai) (Div. MT/",1
"     PORTARIA N° 34/2011/SEDTUR  A SECRETÁRIA DE ESTADO DE DESENVOLVIMENTO DO TURISMO DE MATO GROSSO, no uso de suas atribuições e prerrogativa legais conferidas pela legislação em vigor;   RESOLVE:  Art. 1º - Designar a servidora Vanessa Ulrich Spinelli, para responder pela Gestão do Contrato nº. 015/2011/SEDTUR, que entre si celebram, o Estado de Mato Grosso, por intermédio da Secretaria de Estado de Desenvolvimento do Turismo – SEDTUR e a empresa Encomendas e Transportes de Cargas Pontual LTD",1
"







Portaria n.º
548/2022 - MTPREV
O
DIRETOR PRESIDENTE DO MATO GROSSO PREVIDÊNCIA, no uso e suas atribuições que lhe são conferidas por Lei, resolve
deferir Averbação de Tempo de Serviço/Contribuição do(a) servidor(a)
NOELI FERREIRA, matrícula 59895, ocupante do cargo de PROFESSOR EDUC. BÁSICA,
lotado no órgão SECRETARIA DE ESTADO DE EDUCAÇÃO, nos termos do processo
303/2022-139:
Averbem-se:
07 Anos e 20 Dias de contribuição para o Regime Geral de Previdência Social -
RGPS, nos segu",0
"










ANEXO ÚNICO




SOLICITAÇÃO DE HORÁRIO
  EXCEPCIONAL DE EXPEDIENTE (DECRETO Nº 694/2016)




SERVIDOR:


 


MATRICULA:


 




LOTAÇÃO:


 


HORÁRIO
SOLICITADO:


 




MOTIVAÇÃO:


 




ASSINATURA DO SOLICITANTE:




UNIDADE / AUTORIDADE


AUTORIZAÇÃO




CHEFIA IMEDIATA


(     ) AUTORIZO
(     ) NÃO AUTORIZO




ASSINATURA:




SECRETARIO ADJUNTO DA PASTA


(     ) AUTORIZO
(     ) NÃO AUTORIZO




ASSINATURA:




SECRETARIO DE ESTADO DE GESTÃO


(     ) AUTORIZO
(     ) NÃO AU",0
"







EXTRATO DE  DISPENSA DO CHAMAMENTO PÚBLICO
LEI 13019/2014 E INSTRUÇÃO NORMATIVA CONJUNTA
SEPLAN/SEFAZ/CGE Nº. 01/2016
PROCESSO
N. 140776/2018
INTERESSADA:
Associação de Pais e Amigos dos
Excepcionais APAE - LUCAS DO RIO VERDE.
DISPENSA
DE CHAMAMENTO PÚBLICO - Art. 30 da
Lei 13019/2014, alterada pela Lei 13204/2015 e o artigo 19 IV da Instrução
Normativa SEPLAN/SEFAZ/AGE 01/2016.
DA
DOTAÇÃO ORÇAMENTÁRIA: UO: 22101 -
SETAS - Programa de Governo: 412 - Mato Grosso Equitativo e Incl",0
"







PORTARIA Nº. 024/2021/CGE-COR/POLITEC
 
O DIRETOR-GERAL DA PERÍCIA OFICIAL E
IDENTIFICAÇÃO TÉCNICA DO ESTADO DE MATO GROSSO, no uso de suas atribuições
que lhe são conferidas pelo artigo 2º, §1º, inciso III da Lei Complementar nº.
391, de 27/04/2010.
Considerando os termos da Portaria Instauradora nº 368/2015/CGE-COR/POLITEC;
Considerando a solicitação de prorrogação de prazo
formulada e fundamentada pela presidência da Comissão Processante, para o
término dos trabalhos elucidativos",0
"







PORTARIA nº 273/2018/SECID
Entrada em vigor 04/12/2018                           

A
SECRETÁRIA DE ESTADO DAS CIDADES, no uso de suas atribuições legais, RESOLVE:
Art.
1º - Designar a servidor Arquiteto Marcelo Rodrigo Trindade Gutierrez como
representante da Secretaria de Estado das Cidades para exercer a função de
Fiscal Técnico de Execução de Serviços (Fiscal de Obra), com a missão de
acompanhar, fiscalizar, efetuar liberações de parcelas, analisar prestação de
contas da execuç",0
"    PORTARIA N° 245/2009 - SEFAZ  ""Altera itens na Lista de Preços Mínimos divulgada pela Portaria nº 079/2009-SEFAZ.""  O SECRETÁRIO ADJUNTO DA RECEITA PÚBLICA, no uso de suas atribuições legais, nos termos do inciso II do artigo 71 da Constituição Estadual c/c item II do Anexo I da LC 266/06 e com os incisos VIII e XIV do artigo 67 e inciso I do artigo 68 do Decreto 1.656/08 combinado, ainda, com o inciso I do artigo 100 do CTN, e  Considerando o que dispõe o artigo 41 do Regulamento do ICMS, a",1
"







Portaria n.º 325/2016/GP/DETRAN-MT
O PRESIDENTE
DO DEPARTAMENTO DE TRÂNSITO DO ESTADO DE MATO GROSSO - DETRAN-MT, no uso de
suas atribuições legais, e nos termos da Resolução nº 358 do CONTRAN e a
Portaria nº 341/2015, do DETRAN/MT;
Considerando
o que consta no processo nº 66685/2016;
R E S O L V E
Art.
1º - Credenciar a empresa M A C DE SOUZA & CIA LTDA - EPP - CENTRO DE
FORMAÇÃO DE CONDUTORES RAPHAEL, inscrita no CNPJ/MF sob o nº
05.649.365/0001-65, com sede à Avenida Municipal, ",0
"



PORTARIA N.°  024/2012/GAB/SEJUDH DE 08 DE MAIO DE 2012


O SECRETÁRIO DE ESTADO DE JUSTIÇA E DIREITOS HUMANOS no uso de suas atribuições legais e,
Considerando a necessidade de designar servidores para retirada imediata de 02 (dois) ônibus na  Delegacia da Receita Federal do Brasil em Foz do Iguaçu – PR, conforme processo de incorporação n.° 11969.720044/2012-80, Ato de Destinação de Mercadoria – ADM n.° 0060, de 12/04/2012;
Considerando o disposto no processo n.° 237262/2012;
RESOLVE:
Art.",0
"







PORTARIA N°
084/2017/GS/SINFRA DE OUTUBRO DE 2017
Regulamenta a suspensão da exigência da Lei
13.290/2015, dentro do perímetro urbano
O SECRETARIO DE ESTADO DE INFRAESTRUTURA E LOGÍSTICA
DO ESTADO DE MATO GROSSO, no uso de
suas atribuições que lhe são conferidas no artigo 71, inciso VIII, da
Constituição do Estado de Mato Grosso, na Lei complementar N° 566, de maio de
2015, o art. 21 da Lei nº 9.503, de 23 de setembro de 1997 e o Decreto n°
284/2015.
CONSIDERANDO a
Lei nº 13.290,",0
"







                                                                                                                                                     PORTARIA
Nº 110/2015
O
Diretor Presidente do Centro de Processamento de Dados do Estado de Mato Grosso
- CEPROMAT, no uso de suas atribuições legais,
RESOLVE:
Art.
1° Retificar em parte a Portaria nº
108/2015/CEPROMAT, publicada no D.O.E. de 17/08/2015, N º 26599 à pág. 65.
Onde se lê:
Unidade de Gestão de Projetos
- UGRCM
Leia-se:
Uni",0
"



PORTARIA N°. 132, DE 28 DE MARÇO DE 2012

Outorga a MAURÍCIO CARDOSO TONHÁ o direito de uso dos Recursos Hídricos para captação de água no Córrego Miguelão.

O SECRETÁRIO DE ESTADO DO MEIO AMBIENTE, no uso das atribuições constitucionais previstas no Art. 71, inciso IV, da Constituição do Estado de Mato Grosso, e legais, que lhe confere a Lei Complementar 214, de 23 de junho de 2005, que cria a Secretaria de Estado do Meio Ambiente (SEMA/MT); e,

Considerando os Termos da Lei Estadual nº 6.9",0
     Portaria Conjunta nÂº. 495/SAD/SES/2010.  O SECRETÃ,1
"







PORTARIA Nº 21/2022/UNISECOR/GS/SINFRA
 
O SECRETÁRIO DE ESTADO DE
INFRAESTRUTURA E LOGÍSTICA, no uso de suas atribuições que lhe são
conferidas  pelo artigo 71, inciso II da Constituição Estadual;
Considerando a justificativa do pedido de
prorrogação de prazo ordinário da Comissão do Processo Administrativo nº
284279/2019, de convalidação dos atos praticados pela comissão e de manutenção
dos membros;
Considerando os princípios do
Contraditório e da Ampla Defesa, com fulcro no art.",0
"    PORTARIA NÂº 175/2010/GAB/SEJUSP, DE 18 DE NOVEMBRO DE 2010. Concede prorrogaÃ§Ã£o de prazo para conclusÃ£o dos trabalhos da Autoridade Processante designada pela Portaria nÂº 32/2009/GAB/SEJUSP, datada de 18/03/2009, publicada em D.O.E. de 19/03/2009. O SECRETÃ",1
"    PORTARIA Nº 0236/2010-SEFAZ  Altera a composição da Comissão de Ética da Secretaria de Estado de Fazenda de Mato Grosso.  O SECRETÁRIO DE ESTADO DE FAZENDA DE MATO GROSSO, no uso de suas atribuições legais e tendo em vista o disposto no artigo 6° da Lei Complementar n° 112, de 1° de julho de 2002.  RESOLVE:  Art. 1° Alterar o inciso V do art. 2° da Portaria n° 216/2009-SEFAZ, que passa a vigorar com a seguinte redação:  “Art. 2°.... ....  V - Ligia Maria da Silva – nomeada à função de suplen",1
"     Portaria Conjunta nº. 387/SAD/SINFRA/2010.   O SECRETÁRIO DE ESTADO DE ADMINISTRAÇÃO E DA INFRA-ESTRUTURA no uso de suas atribuições legais, e considerando o disposto na Lei nº. 7.554 de 10 dezembro de 2001 e no Decreto nº. 3.006 de 05 de Maio de 2004.  RESOLVEM:  Art.1º Homologar a Avaliação Anual de Desempenho do servidor da Secretaria de Estado de Infra-Estrutura, referente ao ano de 2006 nos termos do Art. 9º do Decreto nº. 3.006 de 05 de maio de 2004.                     AGENTE DE DESE",1
"    PORTARIA N° 087/2012/GBSES A SECRETÁRIA DE ESTADO DE SAÚDE, no uso de suas atribuições legais, e CONSIDERANDO o Decreto nº 1.455 de 17 de julho de 2008, que dispõe sobre o Sistema de Transferência Voluntária de Recursos Financeiros do Fundo Estadual de Saúde aos Fundos Municipais de Saúde. CONSIDERANDO a Portaria n° 071/2006/GBSES, que define o mecanismo de distribuição de recursos estaduais a serem aplicados no financiamento da Assistência Farmacêutica na Atenção Básica. CONSIDERANDO a CIB ",1
"                     PORTARIA / SINFRA/Nº/  129/2.010                         O SECRETÁRIO DE ESTADO DE INFRAESTRUTURA, no uso de suas atribuições legais,  RESOLVE:                    DESIGNAR , o servidor Engenheiro: ZENILDO PINTO DE CASTRO FILHO para Supervisionar e Fiscalizar a Execução dos Serviços Técnicos de Supervisão , Acompanhamento e Controle da Obra de Pavimentação Asfáltica , na Rodovia MT- 494 , Trecho: Entrº MT- 351 – Entrº MT-241 (Bom Jardim) , com extensão de 44,10 Km, , de confo",1
"







PORTARIA Nº 002/2021/SEPLAG-MT
 
Alteração do Fiscal Titular, do Contrato nº
002/2020/SEPLAG, Empresa W. A Equipamentos e Serviços Ltda, firmado no âmbito
da Secretaria de Estado de Planejamento e Gestão.
 
A SECRETÁRIA ADJUNTA DE ADMINISTRAÇÃO SISTÊMICA, no
uso das atribuições que lhe confere a Constituição Estadual, nomeada através
Ato nº 964/2019 publicado no D. O. E de 15 de fevereiro de 2019, e da Portaria
nº 074/2020/SEPLAG, publicado no D. O. E de 04 de Setembro de 2020.
Cons",0
"        PORTARIA Nº   025/2024/GAB/UNISCOR/SP/SESP   Mantém os membros da Comissão Processante do Processo Administrativo Disciplinar n° 006/2023 e concede prorrogação de prazo para conclusão dos trabalhos.   O SECRETÁRIO DE ESTADO DE SEGURANÇA PÚBLICA, no uso de suas atribuições que lhe são conferidas pelos artigos 69 e 75, §1º da Lei Complementar nº 207, de 29/12/2004, alterada pelas Leis Complementares nº 213/2005 e 550/2014: Considerando a justificativa do pedido de prorrogação de prazo",1
"







MATO GROSSO PREVIDENCIA ­- MTPREV
PORTARIA Nº. 761/2022
 
O DIRETOR PRESIDENTE DO MATO GROSSO PREVIDÊNCIA, usando das
atribuições que lhe são conferidas por Lei, resolve:
 
I - Deferir Retificação de Averbação de Tempo de Contribuição:
01) Processo
nº 163213/2020 - TANIA MARCIA DA SILVA BARROS, Téc. Adm.
Educ. Profissionalizado, matrícula nº 77737, lotada na Secretaria de Estado de
Educação - SEDUC. Homologo o Parecer nº. 5649/MTPREV/2022 para
retificar a averbação, de acordo com a ",0
"      PORTARIA nº 080/2010-GAB/CEE-MT  Escola: Centro de Estimulação Infantil Despertar Ltda - CNPJ nº 09375865000-07;                                                                              Registro de advertência e outras                              providências.  O PRESIDENTE DO CONSELHO ESTADUAL DE EDUCAÇÃO DE MATO GROSSO, no uso de suas atribuições e prerrogativas legais, mormente as previstas no art. 27 do Decreto nº 2943/2001, e art. 8º da Resolução nº 093/2006-CEE/MT:  RESOLVE: Art",1
"







PORTARIA Nº. 238/2018.
 
O SECRETÁRIO
DE ESTADO DE MEIO AMBIENTE, no uso de suas atribuições legais que lhe
confere o artigo 71, IV, da Constituição do Estado de Mato Grosso e dos artigos
69 e 75, §1º da Lei Complementar nº 207, de 29/12/2004, alterada pelas Leis
Complementares nº 550 de 27/11/2014 e de nº 584 de 17/01/2017;
 
Considerando a
justificativa do pedido de prorrogação para conclusão dos trabalhos do PAD nº.
005/2017/SEMA, referente ao processo 647972/2017;
 
Considerand",0
    PORTARIA NÂº 0013/2012/CCAD/CADQV/SGP. O SECRETÃ,1
"




RESOLU��O N� 13/2014 DE 04 DE NOVEMBRO DE 2014

Disp�e sobre inclus�o de empresas para benef�cio concedido atrav�s da Resolu��o n� 007/2014 do CONDEPRODEMAT � beneficio fiscal APLs de Confec��es.


O SECRET�RIO ADJUNTO DE  IND�STRIA, COM�RCIO, no uso de suas atribui��es legais, e

CONSIDERANDO o disposto no inciso I Artigo 5� da Resolu��o n� 007/2014 do CONDEPRODEMAT e o caput do artigo 2� da Instru��o Normativa n� 03/2014, que autoriza a Secretaria de Ind�stria, Comercio, Minas e Energia a",0
"                           GOVERNO DO ESTADO DE MATO GROSSO CONSELHO ESTADUAL DO MEIO AMBIENTE - CONSEMA   RESOLUÇÃO CONSEMA - 027/17 Cuiabá, 31 de maio de 2017. 5ª Reunião Ordinária   O Conselho Estadual do Meio Ambiente - CONSEMA, no exercício de sua competência prevista no art. 3º da Lei Complementar nº 38, de 21 de novembro de 1995, alterada pela Lei Complementar nº 232, de 21 de dezembro de 2005;   Considerando a decisão, por maioria, do Pleno do Conselho Estadual do Meio Ambiente ",1
"        PORTARIA /SECID Número: 094/2015 Folha: 01 DE: 01 Entrada em vigor: 01/09/2015 Sigilo: Não O SECRETÁRIO DE ESTADO DAS  CIDADES, no uso de suas atribuições legais, RESOLVE: SUBSTITUIR para acompanhar, fiscalizar e efetuar medições o engenheiro fiscal abaixo nominado, e, concomitantemente INSTITUIR uma comissão composta pelos servidores também abaixo relacionados para fins de proceder recebimento dos serviços referentes a Construção do Centro de Reabilitação no município de Comodoro/",1
"                                                               Portaria n.º 122/2010-GAB-CEE-MT   Instaura processo apuratório para apurar fatos noticiados a presidência do CEE/MT  e determina outras providências.              O Senhor Presidente do CEE/MT, no uso de suas atribuições e prerrogativas legais, mormente as previstas no art. 27 do Decreto n.º 2943/2001, art. 4º da Res. n.º 93/06/CEE/MT e pelo que consta nos Processo ns. 592048/2010 e ainda:              Considerando a notícia de func",1
"    PORTARIA NÂ°. 045/2011/GS/SEDUC/MT  A SecretÃ¡ria de Estado de EducaÃ§Ã£o, no uso de suas atribuiÃ§Ãµes legais e com fulcro no art. 14, IV da InstruÃ§Ã£o Normativa 007/GS/SEDUC/2010 e demais Leis pertinentes, e considerando a necessidade em dar continuidade ao andamento do Processo Administrativo nÂº. 212671/2010, que tem como fito apurar suposta responsabilidade da empresa G. de Almeida Brito, pessoa jurÃ­dica de direito privado, inscrita no CNPJ sob o nÂº. 01.180.102/0001.07, com sede soci",1
"    Resolução CIB/MT Nº 002 de 10 de fevereiro de 2011. Dispõe sobre os Projetos de implantação do Programa Saúde na Escola - PSE de municípios do Estado de Mato Grosso. A COMISSÃO INTERGESTORES BIPARTITE DO ESTADO DE MATO GROSSO, no uso de suas atribuições legais e considerando: I – O Decreto Presidencial Nº 6.286, de 05 de dezembro de 2007, que instituí no âmbito dos Ministérios da Educação e da Saúde, o Programa Saúde na Escola - PSE, com finalidade de contribuir para a formação integral dos ",1
"     RESOLUÇÃO Nº 016/2011-CEE/MT O PRESIDENTE DO CONSELHO ESTADUAL DE EDUCAÇÃO DE MATO GROSSO, no uso de suas atribuições legais, nos termos da Resolução Normativa Nº 630/2008-CEE/MT, e à vista do que consta no PROCESSO Nº 229549/2011, RESOLVE: Art. 1º - Declarar a desativação voluntária, definitiva e total das atividades escolares das Unidades Privadas de Ensino, mantidas pela iniciativa privada, localizadas no município de Rondonópolis/MT, conforme abaixo relacionadas:  Escola Chave do Saber;",1
    PORTARIA NÂº 343/2010/GBSES  O SECRETÃ,1
"







PORTARIA N° 040/2018
O
PRESIDENTE DO INSTITUTO DE TERRAS DE MATO GROSSO - INTERMAT, no uso de suas atribuições que lhe conferem os
artigos 5° e 31° do Decreto 1.546 de 26 de Março de 1.992, RESOLVE:
 
I-   Revogar as portarias n° 019 de 26 de abril de
2016 e n° 032 de 08 de julho de 2016,
Bem como instituir o prazo de 60 ( sessenta ) dias
para apresentação do relatório final dos trabalhos de comissão.
Registre-se. Publique-se.
Cumpra-se
Cuiabá, 27 de Julho de 2018.
DEMÍLSON NOGUEIRA",0
"







PORTARIA
CONJUNTA Nº 006/SES/PGE/CGE/2018
PRORROGA O PRAZO DE VIGÊNCIA DA COMISSÃO PARA
LEVANTAMENTO DOS PASSIVOS EXISTENTES NOS HOSPITAIS REGIONAIS DE SORRISO, ALTA
FLORESTA E COLÍDER E NO METROPOLITANO DE VÁRZEA GRANDE, INSTITUÍDA PELA
PORTARIA CONJUNTA Nº 003/SES/PGE/CGE/2017, DE 28 DE JULHO DE 2017.
O
SECRETÁRIO DE ESTADO DE SAÚDE, a
PROCURADORA GERAL DO ESTADO DE MATO GROSSO e o CONTROLADOR GERAL DO
ESTADO DE MATO GROSSO, no uso de suas atribuições legais e,
CONSIDERANDO o ar",0
"    DECRETO Nº     2.888,      DE    30    DE       SETEMBRO            DE       2010.  Dispõe sobre retificação, em parte do Decreto nº 5.156, de 24 de fevereiro de 2005 publicado no Diário Oficial da mesma data, sobre enquadramento dos servidores da Secretaria de Estado de Saúde, na carreira dos Profissionais do Sistema Único de Saúde e dá outras providências.  O GOVERNADOR DO ESTADO DE MATO GROSSO, no uso das atribuições que lhe confere o artigo 66, inciso III, da Constituição Estadual, e  co",1
"     RESOLUÃ‡ÃƒO NÂ° 09/2011/CEAS/MT  DispÃµe sobre o Coordenador Geral da ComissÃ£o Organizadora da IX ConferÃªncia Estadual de AssistÃªncia Social do Estado de Mato Grosso.  O Conselho Estadual de AssistÃªncia Social de Mato Grosso - CEAS/MT, por seu Presidente, no uso de suas atribuiÃ§Ãµes legais conferidas pela Lei nÂº 9.051, de 12 de dezembro de 2008, conforme decisÃ£o do Pleno na AssemblÃ©ia OrdinÃ¡ria realizada no dia 24 de fevereiro de 2011, em razÃ£o da adoÃ§Ã£o de providÃªncias necessÃ",1
